MW	molecular weight
Mor27e	3D-MoRSE - signal 27 / weighted by atomic Sanderson electronegativities
Mor28e	3D-MoRSE - signal 28 / weighted by atomic Sanderson electronegativities
Mor29e	3D-MoRSE - signal 29 / weighted by atomic Sanderson electronegativities
Mor30e	3D-MoRSE - signal 30 / weighted by atomic Sanderson electronegativities
Mor31e	3D-MoRSE - signal 31 / weighted by atomic Sanderson electronegativities
Mor32e	3D-MoRSE - signal 32 / weighted by atomic Sanderson electronegativities
Mor01p	3D-MoRSE - signal 01 / weighted by atomic polarizabilities
Mor02p	3D-MoRSE - signal 02 / weighted by atomic polarizabilities
Mor03p	3D-MoRSE - signal 03 / weighted by atomic polarizabilities
Mor04p	3D-MoRSE - signal 04 / weighted by atomic polarizabilities
Mor05p	3D-MoRSE - signal 05 / weighted by atomic polarizabilities
Mor06p	3D-MoRSE - signal 06 / weighted by atomic polarizabilities
Mor07p	3D-MoRSE - signal 07 / weighted by atomic polarizabilities
Mor08p	3D-MoRSE - signal 08 / weighted by atomic polarizabilities
Mor09p	3D-MoRSE - signal 09 / weighted by atomic polarizabilities
Mor10p	3D-MoRSE - signal 10 / weighted by atomic polarizabilities
Mor11p	3D-MoRSE - signal 11 / weighted by atomic polarizabilities
Mor12p	3D-MoRSE - signal 12 / weighted by atomic polarizabilities
Mor13p	3D-MoRSE - signal 13 / weighted by atomic polarizabilities
Mor14p	3D-MoRSE - signal 14 / weighted by atomic polarizabilities
Mor15p	3D-MoRSE - signal 15 / weighted by atomic polarizabilities
Mor16p	3D-MoRSE - signal 16 / weighted by atomic polarizabilities
Mor17p	3D-MoRSE - signal 17 / weighted by atomic polarizabilities
Mor18p	3D-MoRSE - signal 18 / weighted by atomic polarizabilities
Mor19p	3D-MoRSE - signal 19 / weighted by atomic polarizabilities
Mor20p	3D-MoRSE - signal 20 / weighted by atomic polarizabilities
Mor21p	3D-MoRSE - signal 21 / weighted by atomic polarizabilities
Mor22p	3D-MoRSE - signal 22 / weighted by atomic polarizabilities
Mor23p	3D-MoRSE - signal 23 / weighted by atomic polarizabilities
Mor24p	3D-MoRSE - signal 24 / weighted by atomic polarizabilities
Mor25p	3D-MoRSE - signal 25 / weighted by atomic polarizabilities
Mor26p	3D-MoRSE - signal 26 / weighted by atomic polarizabilities
Mor27p	3D-MoRSE - signal 27 / weighted by atomic polarizabilities
Mor28p	3D-MoRSE - signal 28 / weighted by atomic polarizabilities
Mor29p	3D-MoRSE - signal 29 / weighted by atomic polarizabilities
Mor30p	3D-MoRSE - signal 30 / weighted by atomic polarizabilities
Mor31p	3D-MoRSE - signal 31 / weighted by atomic polarizabilities
Mor32p	3D-MoRSE - signal 32 / weighted by atomic polarizabilities
L1u	1st component size directional WHIM index / unweighted
L2u	2nd component size directional WHIM index / unweighted
L3u	3rd component size directional WHIM index / unweighted
P1u	1st component shape directional WHIM index / unweighted
P2u	2nd component shape directional WHIM index / unweighted
G1u	1st component symmetry directional WHIM index / unweighted
G2u	2st component symmetry directional WHIM index / unweighted
G3u	3st component symmetry directional WHIM index / unweighted
E1u	1st component accessibility directional WHIM index / unweighted
E2u	2nd component accessibility directional WHIM index / unweighted
E3u	3rd component accessibility directional WHIM index / unweighted
L1m	1st component size directional WHIM index / weighted by atomic masses
L2m	2nd component size directional WHIM index / weighted by atomic masses
L3m	3rd component size directional WHIM index / weighted by atomic masses
P1m	1st component shape directional WHIM index / weighted by atomic masses
P2m	2nd component shape directional WHIM index / weighted by atomic masses
G1m	1st component symmetry directional WHIM index / weighted by atomic masses
G2m	2st component symmetry directional WHIM index / weighted by atomic masses
G3m	3st component symmetry directional WHIM index / weighted by atomic masses
E1m	1st component accessibility directional WHIM index / weighted by atomic masses
E2m	2nd component accessibility directional WHIM index / weighted by atomic masses
E3m	3rd component accessibility directional WHIM index / weighted by atomic masses
L1v	1st component size directional WHIM index / weighted by atomic van der Waals volumes
L2v	2nd component size directional WHIM index / weighted by atomic van der Waals volumes
L3v	3rd component size directional WHIM index / weighted by atomic van der Waals volumes
P1v	1st component shape directional WHIM index / weighted by atomic van der Waals volumes
P2v	2nd component shape directional WHIM index / weighted by atomic van der Waals volumes
G1v	1st component symmetry directional WHIM index / weighted by atomic van der Waals volumes
G2v	2st component symmetry directional WHIM index / weighted by atomic van der Waals volumes
G3v	3st component symmetry directional WHIM index / weighted by atomic van der Waals volumes
E1v	1st component accessibility directional WHIM index / weighted by atomic van der Waals volumes
E2v	2nd component accessibility directional WHIM index / weighted by atomic van der Waals volumes
E3v	3rd component accessibility directional WHIM index / weighted by atomic van der Waals volumes
L1e	1st component size directional WHIM index / weighted by atomic Sanderson electronegativities
L2e	2nd component size directional WHIM index / weighted by atomic Sanderson electronegativities
L3e	3rd component size directional WHIM index / weighted by atomic Sanderson electronegativities
P1e	1st component shape directional WHIM index / weighted by atomic Sanderson electronegativities
P2e	2nd component shape directional WHIM index / weighted by atomic Sanderson electronegativities
G1e	1st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities
G2e	2st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities
G3e	3st component symmetry directional WHIM index / weighted by atomic Sanderson electronegativities
E1e	1st component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities
E2e	2nd component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities
E3e	3rd component accessibility directional WHIM index / weighted by atomic Sanderson electronegativities
L1p	1st component size directional WHIM index / weighted by atomic polarizabilities
L2p	2nd component size directional WHIM index / weighted by atomic polarizabilities
L3p	3rd component size directional WHIM index / weighted by atomic polarizabilities
P1p	1st component shape directional WHIM index / weighted by atomic polarizabilities
P2p	2nd component shape directional WHIM index / weighted by atomic polarizabilities
G1p	1st component symmetry directional WHIM index / weighted by atomic polarizabilities
G2p	2st component symmetry directional WHIM index / weighted by atomic polarizabilities
G3p	3st component symmetry directional WHIM index / weighted by atomic polarizabilities
E1p	1st component accessibility directional WHIM index / weighted by atomic polarizabilities
E2p	2nd component accessibility directional WHIM index / weighted by atomic polarizabilities
E3p	3rd component accessibility directional WHIM index / weighted by atomic polarizabilities
L1s	1st component size directional WHIM index / weighted by atomic electrotopological states
L2s	2nd component size directional WHIM index / weighted by atomic electrotopological states
L3s	3rd component size directional WHIM index / weighted by atomic electrotopological states
P1s	1st component shape directional WHIM index / weighted by atomic electrotopological states
P2s	2nd component shape directional WHIM index / weighted by atomic electrotopological states
G1s	1st component symmetry directional WHIM index / weighted by atomic electrotopological states
G2s	2st component symmetry directional WHIM index / weighted by atomic electrotopological states
G3s	3st component symmetry directional WHIM index / weighted by atomic electrotopological states
E1s	1st component accessibility directional WHIM index / weighted by atomic electrotopological states
E2s	2nd component accessibility directional WHIM index / weighted by atomic electrotopological states
E3s	3rd component accessibility directional WHIM index / weighted by atomic electrotopological states
Tu	T total size index / unweighted
Tm	T total size index / weighted by atomic masses
Tv	T total size index / weighted by atomic van der Waals volumes
Te	T total size index / weighted by atomic Sanderson electronegativities
Tp	T total size index / weighted by atomic polarizabilities
Ts	T total size index / weighted by atomic electrotopological states
Au	A total size index / unweighted
Am	A total size index / weighted by atomic masses
Av	A total size index / weighted by atomic van der Waals volumes
Ae	A total size index / weighted by atomic Sanderson electronegativities
Ap	A total size index / weighted by atomic polarizabilities
As	A total size index / weighted by atomic electrotopological states
Gu	G total symmetry index / unweighted
Gm	G total symmetry index / weighted by atomic masses
Gs	G total symmetry index / weighted by atomic electrotopological states
Ku	K global shape index / unweighted
Km	K global shape index / weighted by atomic masses
Kv	K global shape index / weighted by atomic van der Waals volumes
Ke	K global shape index / weighted by atomic Sanderson electronegativities
Kp	K global shape index / weighted by atomic polarizabilities
Ks	K global shape index / weighted by atomic electrotopological states
Du	D total accessibility index / unweighted
Dm	D total accessibility index / weighted by atomic masses
Dv	D total accessibility index / weighted by atomic van der Waals volumes
De	D total accessibility index / weighted by atomic Sanderson electronegativities
Dp	D total accessibility index / weighted by atomic polarizabilities
Ds	D total accessibility index / weighted by atomic electrotopological states
Vu	V total size index / unweighted
Vm	V total size index / weighted by atomic masses
Vv	V total size index / weighted by atomic van der Waals volumes
Ve	V total size index / weighted by atomic Sanderson electronegativities
Vp	V total size index / weighted by atomic polarizabilities
Vs	V total size index / weighted by atomic electrotopological states
ITH	total information content on the leverage equality
ISH	standardized information content on the leverage equality
HIC	mean information content on the leverage magnitude
HGM	geometric mean on the leverage magnitude
H0u	H autocorrelation of lag 0 / unweighted
H1u	H autocorrelation of lag 1 / unweighted
H2u	H autocorrelation of lag 2 / unweighted
H3u	H autocorrelation of lag 3 / unweighted
H4u	H autocorrelation of lag 4 / unweighted
H5u	H autocorrelation of lag 5 / unweighted
H6u	H autocorrelation of lag 6 / unweighted
H7u	H autocorrelation of lag 7 / unweighted
H8u	H autocorrelation of lag 8 / unweighted
HTu	H total index / unweighted
HATS0u	leverage-weighted autocorrelation of lag 0 / unweighted
HATS1u	leverage-weighted autocorrelation of lag 1 / unweighted
HATS2u	leverage-weighted autocorrelation of lag 2 / unweighted
HATS3u	leverage-weighted autocorrelation of lag 3 / unweighted
HATS4u	leverage-weighted autocorrelation of lag 4 / unweighted
HATS5u	leverage-weighted autocorrelation of lag 5 / unweighted
HATS6u	leverage-weighted autocorrelation of lag 6 / unweighted
HATS7u	leverage-weighted autocorrelation of lag 7 / unweighted
HATS8u	leverage-weighted autocorrelation of lag 8 / unweighted
HATSu	leverage-weighted total index / unweighted
H0m	H autocorrelation of lag 0 / weighted by atomic masses
H1m	H autocorrelation of lag 1 / weighted by atomic masses
H2m	H autocorrelation of lag 2 / weighted by atomic masses
H3m	H autocorrelation of lag 3 / weighted by atomic masses
H4m	H autocorrelation of lag 4 / weighted by atomic masses
H5m	H autocorrelation of lag 5 / weighted by atomic masses
H6m	H autocorrelation of lag 6 / weighted by atomic masses
H7m	H autocorrelation of lag 7 / weighted by atomic masses
H8m	H autocorrelation of lag 8 / weighted by atomic masses
HTm	H total index / weighted by atomic masses
HATS0m	leverage-weighted autocorrelation of lag 0 / weighted by atomic masses
HATS1m	leverage-weighted autocorrelation of lag 1 / weighted by atomic masses
HATS2m	leverage-weighted autocorrelation of lag 2 / weighted by atomic masses
HATS3m	leverage-weighted autocorrelation of lag 3 / weighted by atomic masses
HATS4m	leverage-weighted autocorrelation of lag 4 / weighted by atomic masses
HATS5m	leverage-weighted autocorrelation of lag 5 / weighted by atomic masses
HATS6m	leverage-weighted autocorrelation of lag 6 / weighted by atomic masses
HATS7m	leverage-weighted autocorrelation of lag 7 / weighted by atomic masses
HATS8m	leverage-weighted autocorrelation of lag 8 / weighted by atomic masses
HATSm	leverage-weighted total index / weighted by atomic masses
H0v	H autocorrelation of lag 0 / weighted by atomic van der Waals volumes
H1v	H autocorrelation of lag 1 / weighted by atomic van der Waals volumes
H2v	H autocorrelation of lag 2 / weighted by atomic van der Waals volumes
H3v	H autocorrelation of lag 3 / weighted by atomic van der Waals volumes
H4v	H autocorrelation of lag 4 / weighted by atomic van der Waals volumes
H5v	H autocorrelation of lag 5 / weighted by atomic van der Waals volumes
H6v	H autocorrelation of lag 6 / weighted by atomic van der Waals volumes
H7v	H autocorrelation of lag 7 / weighted by atomic van der Waals volumes
H8v	H autocorrelation of lag 8 / weighted by atomic van der Waals volumes
HTv	H total index / weighted by atomic van der Waals volumes
HATS0v	leverage-weighted autocorrelation of lag 0 / weighted by atomic van der Waals volumes
HATS1v	leverage-weighted autocorrelation of lag 1 / weighted by atomic van der Waals volumes
HATS2v	leverage-weighted autocorrelation of lag 2 / weighted by atomic van der Waals volumes
HATS3v	leverage-weighted autocorrelation of lag 3 / weighted by atomic van der Waals volumes
HATS4v	leverage-weighted autocorrelation of lag 4 / weighted by atomic van der Waals volumes
HATS5v	leverage-weighted autocorrelation of lag 5 / weighted by atomic van der Waals volumes
HATS6v	leverage-weighted autocorrelation of lag 6 / weighted by atomic van der Waals volumes
HATS7v	leverage-weighted autocorrelation of lag 7 / weighted by atomic van der Waals volumes
HATS8v	leverage-weighted autocorrelation of lag 8 / weighted by atomic van der Waals volumes
HATSv	leverage-weighted total index / weighted by atomic van der Waals volumes
H0e	H autocorrelation of lag 0 / weighted by atomic Sanderson electronegativities
H1e	H autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities
H2e	H autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities
H3e	H autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities
H4e	H autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities
H5e	H autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities
H6e	H autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities
H7e	H autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities
H8e	H autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities
HTe	H total index / weighted by atomic Sanderson electronegativities
HATS0e	leverage-weighted autocorrelation of lag 0 / weighted by atomic Sanderson electronegativities
HATS1e	leverage-weighted autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities
HATS2e	leverage-weighted autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities
HATS3e	leverage-weighted autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities
HATS4e	leverage-weighted autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities
HATS5e	leverage-weighted autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities
HATS6e	leverage-weighted autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities
HATS7e	leverage-weighted autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities
HATS8e	leverage-weighted autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities
HATSe	leverage-weighted total index / weighted by atomic Sanderson electronegativities
H0p	H autocorrelation of lag 0 / weighted by atomic polarizabilities
H1p	H autocorrelation of lag 1 / weighted by atomic polarizabilities
H2p	H autocorrelation of lag 2 / weighted by atomic polarizabilities
H3p	H autocorrelation of lag 3 / weighted by atomic polarizabilities
H4p	H autocorrelation of lag 4 / weighted by atomic polarizabilities
H5p	H autocorrelation of lag 5 / weighted by atomic polarizabilities
H6p	H autocorrelation of lag 6 / weighted by atomic polarizabilities
H7p	H autocorrelation of lag 7 / weighted by atomic polarizabilities
H8p	H autocorrelation of lag 8 / weighted by atomic polarizabilities
HTp	H total index / weighted by atomic polarizabilities
HATS0p	leverage-weighted autocorrelation of lag 0 / weighted by atomic polarizabilities
HATS1p	leverage-weighted autocorrelation of lag 1 / weighted by atomic polarizabilities
HATS2p	leverage-weighted autocorrelation of lag 2 / weighted by atomic polarizabilities
HATS3p	leverage-weighted autocorrelation of lag 3 / weighted by atomic polarizabilities
HATS4p	leverage-weighted autocorrelation of lag 4 / weighted by atomic polarizabilities
HATS5p	leverage-weighted autocorrelation of lag 5 / weighted by atomic polarizabilities
HATS6p	leverage-weighted autocorrelation of lag 6 / weighted by atomic polarizabilities
HATS7p	leverage-weighted autocorrelation of lag 7 / weighted by atomic polarizabilities
HATS8p	leverage-weighted autocorrelation of lag 8 / weighted by atomic polarizabilities
HATSp	leverage-weighted total index / weighted by atomic polarizabilities
RCON	Randic-type R matrix connectivity
RARS	R matrix average row sum
REIG	first eigenvalue of the R matrix
R1u	R autocorrelation of lag 1 / unweighted
R2u	R autocorrelation of lag 2 / unweighted
R3u	R autocorrelation of lag 3 / unweighted
R4u	R autocorrelation of lag 4 / unweighted
R5u	R autocorrelation of lag 5 / unweighted
R6u	R autocorrelation of lag 6 / unweighted
R7u	R autocorrelation of lag 7 / unweighted
R8u	R autocorrelation of lag 8 / unweighted
RTu	R total index / unweighted
R1u+	R maximal autocorrelation of lag 1 / unweighted
R2u+	R maximal autocorrelation of lag 2 / unweighted
R3u+	R maximal autocorrelation of lag 3 / unweighted
R4u+	R maximal autocorrelation of lag 4 / unweighted
R5u+	R maximal autocorrelation of lag 5 / unweighted
R6u+	R maximal autocorrelation of lag 6 / unweighted
R7u+	R maximal autocorrelation of lag 7 / unweighted
R8u+	R maximal autocorrelation of lag 8 / unweighted
RTu+	R maximal index / unweighted
R1m	R autocorrelation of lag 1 / weighted by atomic masses
R2m	R autocorrelation of lag 2 / weighted by atomic masses
R3m	R autocorrelation of lag 3 / weighted by atomic masses
R4m	R autocorrelation of lag 4 / weighted by atomic masses
R5m	R autocorrelation of lag 5 / weighted by atomic masses
R6m	R autocorrelation of lag 6 / weighted by atomic masses
R7m	R autocorrelation of lag 7 / weighted by atomic masses
R8m	R autocorrelation of lag 8 / weighted by atomic masses
RTm	R total index / weighted by atomic masses
R1m+	R maximal autocorrelation of lag 1 / weighted by atomic masses
R2m+	R maximal autocorrelation of lag 2 / weighted by atomic masses
R3m+	R maximal autocorrelation of lag 3 / weighted by atomic masses
R4m+	R maximal autocorrelation of lag 4 / weighted by atomic masses
R5m+	R maximal autocorrelation of lag 5 / weighted by atomic masses
R6m+	R maximal autocorrelation of lag 6 / weighted by atomic masses
R7m+	R maximal autocorrelation of lag 7 / weighted by atomic masses
R8m+	R maximal autocorrelation of lag 8 / weighted by atomic masses
RTm+	R maximal index / weighted by atomic masses
R1v	R autocorrelation of lag 1 / weighted by atomic van der Waals volumes
R2v	R autocorrelation of lag 2 / weighted by atomic van der Waals volumes
R3v	R autocorrelation of lag 3 / weighted by atomic van der Waals volumes
R4v	R autocorrelation of lag 4 / weighted by atomic van der Waals volumes
R5v	R autocorrelation of lag 5 / weighted by atomic van der Waals volumes
R6v	R autocorrelation of lag 6 / weighted by atomic van der Waals volumes
R7v	R autocorrelation of lag 7 / weighted by atomic van der Waals volumes
R8v	R autocorrelation of lag 8 / weighted by atomic van der Waals volumes
RTv	R total index / weighted by atomic van der Waals volumes
R1v+	R maximal autocorrelation of lag 1 / weighted by atomic van der Waals volumes
R2v+	R maximal autocorrelation of lag 2 / weighted by atomic van der Waals volumes
R3v+	R maximal autocorrelation of lag 3 / weighted by atomic van der Waals volumes
R4v+	R maximal autocorrelation of lag 4 / weighted by atomic van der Waals volumes
R5v+	R maximal autocorrelation of lag 5 / weighted by atomic van der Waals volumes
R6v+	R maximal autocorrelation of lag 6 / weighted by atomic van der Waals volumes
R7v+	R maximal autocorrelation of lag 7 / weighted by atomic van der Waals volumes
R8v+	R maximal autocorrelation of lag 8 / weighted by atomic van der Waals volumes
RTv+	R maximal index / weighted by atomic van der Waals volumes
R1e	R autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities
R2e	R autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities
R3e	R autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities
R4e	R autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities
R5e	R autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities
R6e	R autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities
R7e	R autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities
R8e	R autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities
RTe	R total index / weighted by atomic Sanderson electronegativities
R1e+	R maximal autocorrelation of lag 1 / weighted by atomic Sanderson electronegativities
R2e+	R maximal autocorrelation of lag 2 / weighted by atomic Sanderson electronegativities
R3e+	R maximal autocorrelation of lag 3 / weighted by atomic Sanderson electronegativities
R4e+	R maximal autocorrelation of lag 4 / weighted by atomic Sanderson electronegativities
R5e+	R maximal autocorrelation of lag 5 / weighted by atomic Sanderson electronegativities
R6e+	R maximal autocorrelation of lag 6 / weighted by atomic Sanderson electronegativities
R7e+	R maximal autocorrelation of lag 7 / weighted by atomic Sanderson electronegativities
R8e+	R maximal autocorrelation of lag 8 / weighted by atomic Sanderson electronegativities
RTe+	R maximal index / weighted by atomic Sanderson electronegativities
R1p	R autocorrelation of lag 1 / weighted by atomic polarizabilities
R2p	R autocorrelation of lag 2 / weighted by atomic polarizabilities
R3p	R autocorrelation of lag 3 / weighted by atomic polarizabilities
R4p	R autocorrelation of lag 4 / weighted by atomic polarizabilities
R5p	R autocorrelation of lag 5 / weighted by atomic polarizabilities
R6p	R autocorrelation of lag 6 / weighted by atomic polarizabilities
R7p	R autocorrelation of lag 7 / weighted by atomic polarizabilities
R8p	R autocorrelation of lag 8 / weighted by atomic polarizabilities
RTp	R total index / weighted by atomic polarizabilities
R1p+	R maximal autocorrelation of lag 1 / weighted by atomic polarizabilities
R2p+	R maximal autocorrelation of lag 2 / weighted by atomic polarizabilities
R3p+	R maximal autocorrelation of lag 3 / weighted by atomic polarizabilities
R4p+	R maximal autocorrelation of lag 4 / weighted by atomic polarizabilities
R5p+	R maximal autocorrelation of lag 5 / weighted by atomic polarizabilities
R6p+	R maximal autocorrelation of lag 6 / weighted by atomic polarizabilities
R7p+	R maximal autocorrelation of lag 7 / weighted by atomic polarizabilities
R8p+	R maximal autocorrelation of lag 8 / weighted by atomic polarizabilities
RTp+	R maximal index / weighted by atomic polarizabilities
nCp	number of terminal primary C(sp3) Y = any terminal atom or heteroaromatic group (i.e. H, X, OH, NH2, etc.)
nCs	number of total secondary C(sp3) Y = H or any heteroatom
nCt	number of total tertiary C(sp3) Y = H or any heteroatom
nCq	number of total quaternary C(sp3)
nCrs	number of ring secondary C(sp3) Y = H or any heteroatom
nCrt	number of ring tertiary C(sp3) Y = H or any heteroatom
nCrq	number of ring quaternary C(sp3)
nCar	number of aromatic C(sp2)
nCbH	number of unsubstituted benzene C(sp2)
nCb–	number of substituted benzene C(sp2) Y = carbon or any heteroatom
nCconj	number of non-aromatic conjugated C(sp2)
nR=Cp	number of terminal primary C(sp2) Y = any terminal atom or heteroaromatic group (i.e. H, X, OH, NH2, etc.)
nR=Cs	number of aliphatic secondary C(sp2) Y = H or any heteroatom
nR=Ct	number of aliphatic tertiary C(sp2)
n=C=	number of allenes groups
nR#CH/X	number of terminal C(sp) Y = any terminal atom or heteroaromatic group (i.e. H, X, OH, NH2, etc.)
nR#C–	number of non-terminal C(sp) Y = C or any non-terminal heteroatom
nROCN	number of cyanates (aliphatic)
nArOCN	number of cyanates (aromatic)
nRNCO	number of isocyanates (aliphatic)
nArNCO	number of isocyanates (aromatic)
nRSCN	number of thiocyanates (aliphatic)
nArSCN	number of thiocyanates (aromatic)
nRNCS	number of isothiocyanates (aliphatic)
nArNCS	number of isothiocyanates (aromatic)
nRCOOH	number of carboxylic acids (aliphatic)
nArCOOH	number of carboxylic acids (aromatic)
nRCOOR	number of esters (aliphatic) Y = Ar or Al (not H)                                  Al = H or aliphatic group linked through C
nArCOOR	number of esters (aromatic) Y = Al or Ar
nRCONH2	number of primary amides (aliphatic) Al = H or aliphatic group linked through C
nArCONH2	number of primary amides (aromatic)
nRCONHR	number of secondary amides (aliphatic)   Y = Ar or Al (not H, not C = O) Al = H or aliphatic group linked through C
nArCONHR	number of secondary amides (aromatic) Y = Ar or Al (not H, not C = O)
nRCONR2	number of tertiary amides (aliphatic)  Y = Ar or Al (not H, not C = O) Al = H or aliphatic group linked through C
nArCONR2	number of tertiary amides (aromatic) Y = Ar or Al (not H, not C = O)
nROCON	number of (thio-) carbamates (aliphatic) Y = O or S Al = H or aliphatic group linked through any atom
nArOCON	number of (thio-) carbamates (aromatic) Y1 = O or S Y2 = H or aliphatic or aromatic group linked through any atom Ar = aromatic group linked through any atom
nRCOX	number of acyl halogenides (aliphatic)
nArCOX	number of acyl halogenides (aromatic)
nRCSOH	number of thioacids (aliphatic)
nArCSOH	number of thioacids (aromatic)
nRCSSH	number of dithioacids (aliphatic)
nArCSSH	number of dithioacids (aromatic)
nRCOSR	number of thioesters (aliphatic) Y = Ar or Al (not H) Al = H or aliphatic group linked through C
nArCOSR	number of thioesters (aromatic)
nRCSSR	number of dithioesters (aliphatic) Y = Ar or Al (not H) Al = H or aliphatic group linked through C
nArCSSR	number of dithioesters (aromatic) Y = Ar or Al (not H)
nRCHO	number of aldehydes (aliphatic)
nArCHO	number of aldehydes (aromatic)
nRCO	number of ketones (aliphatic)
nArCO	number of ketones (aromatic) Y = Al or Ar
nCONN	number of urea (-thio) derivatives Y = O or S
nC=O(OR)2	number of carbonate (-thio) derivatives Y = O or S
nN=C-N<	number of amidine derivatives Y = C or H
nC(=N)N2	number of guanidine derivatives
nRC=N	number of imines (aliphatic)  Y = H,C or N (two-connected) Al = H or aliphatic group linked through C
nArC=N	number of imines (aromatic) Y = H,C or N (two-connected)
nRCNO	number of oximes (aliphatic) Y = H, Ar or Al
nArCNO	number of oximes (aromatic) Y = H, Ar or Al
nRNH2	number of primary amines (aliphatic) Al = aliphatic group linked through C  (not C = O)
nArNH2	number of primary amines (aromatic)
nRNHR	number of secondary amines (aliphatic) Al = aliphatic group linked through C  (not C = O)
nArNHR	number of secondary amines (aromatic) Y = Ar or Al (not C = O)
nRNR2	number of tertiary amines (aliphatic) Al = aliphatic group linked through C  (not C = O)
nArNR2	number of tertiary amines (aromatic) Y = Ar or Al (not C = O)
nN-N	number of N hydrazines Y = C or H
nN=N	number of N azo-derivatives Y = C or H
nRCN	number of nitriles (aliphatic)
nArCN	number of nitriles (aromatic)
nN+	number of positive charged N
nNq	number of quaternary N
nRNHO	number of hydroxylamines (aliphatic) Y = H, Al or Ar
nArNHO	number of hydroxylamines (aromatic) Y = H, Al or Ar
nRNNOx	number of N-nitroso groups (aliphatic) Al = H or aliphatic group linked through C
nArNNOx	number of N-nitroso groups (aromatic) Y = H, Al or Ar
nRNO	number of nitroso groups (aliphatic)
nArNO	number of nitroso groups (aromatic)
nRNO2	number of nitro groups (aliphatic) Al = H or aliphatic group linked through carbon
nArNO2	number of nitro groups (aromatic) Al = aromatic group linked through carbon
nN(CO)2	number of imides (thio-) Y = H or C                 Y1 = O or S
nC=N-N<	number of hydrazones Y = C or H
nROH	number of hydroxyl groups Al = aliphatic group linked through any atom
nArOH	number of aromatic hydroxyls Ar = aromatic group linked through any atom
nOHp	number of primary alcohols
nOHs	number of secondary alcohols
nOHt	number of tertiary alcohols
nROR	number of ethers (aliphatic) Al = aliphatic group linked through C (not C = O, not C # N)
nArOR	number of ethers (aromatic) Y = Ar or Al (not C = O, not C # N)
nROX	number of hypohalogenides (aliphatic)
nArOX	number of hypohalogenides (aromatic)
nO(C=O)2	number of anhydrides (thio-) Y = O or S
nH2O	number of water molecules
nSH	number of thiols
nC=S	number of thioketones
nRSR	number of sulfides
nRSSR	number of disulfides
nSO	number of sulfoxides
nS(=O)2	number of sulfones
nSOH	number of sulfenic (thio-) acids Y = O or S
nSOOH	number of sulfinic (thio-/dithio-)acids Y = O or S
nSO2OH	number of sulfonic (thio-/dithio-) acids Y = O or S
nSO3OH	number of sulfuric (thio-/dithio-) acids Y = O or S
nSO2	number of sulfites (thio-/ dithio-) Y = O or S
nSO3	number of sulfonates (thio- / dithio-) Y = O or S
nSO4	number of sulfates (thio- / dithio-) Y = O or S
nSO2N	number of sulfonamides / sulfinamides / sulfenamides (thio- / dithio-)
nPO3	number of phosphites / thiophosphites Y = O or S
nPO4	number of phosphates / thiophosphates Y = O or S
nPR3	number of phosphanes Y = H, C, halogens
nP(=O)O2R	number of phosphonates / thiophosphonates Y = O or S Y1 = H, C, halogens
nP(=O)R3/nPR5	number of phosphoranes / thiophosphoranes Y = O or S
nCH2RX	number of CH2RX
nCHR2X	number of CHR2X
nCR3X	number of CR3X
nR=CHX	number of R=CHX
nR=CRX	number of R=CRX
nR#CX	number of R#CX
nCHRX2	number of CHRX2
nCR2X2	number of CR2X2
nR=CX2	number of R=CX2
nCRX3	number of CRX3
nArX	number of X on aromatic ring
nCXr	number of X on ring C(sp3)
nCXr=	number of X on ring C(sp2)
nCconjX	number of X on exo-conjugated C
nAziridines	number of Aziridines
nOxiranes	number of Oxiranes
nThiranes	number of Thiranes
nAzetidines	number of Azetidines
nOxetanes	number of Oxetanes
nThioethanes	number of Thioethanes
nBeta-Lactams	number of Beta-Lactams
nPyrrolidines	number of Pyrrolidines
nOxolanes	number of Oxolanes
